lambda_nm	Fp	T	eta	Ploss
500	636.331	4.41818	0.0069432	631.913
502	645.298	4.5734	0.00708727	640.725
504	652.052	4.7295	0.00725326	647.322
506	656.537	4.88424	0.00743939	651.653
508	658.738	5.03543	0.00764406	653.703
510	658.672	5.18101	0.00786584	653.491
512	656.391	5.31905	0.00810347	651.072
514	651.976	5.44783	0.00835588	646.528
516	645.536	5.56588	0.00862211	639.97
518	637.201	5.67195	0.00890136	631.529
520	627.119	5.76509	0.00919298	621.354
522	615.454	5.84462	0.00949644	609.609
524	602.376	5.91013	0.00981138	596.466
526	588.063	5.96151	0.0101375	582.101
528	572.694	5.99888	0.0104748	566.695
530	556.446	6.02262	0.0108234	550.424
532	539.492	6.03331	0.0111833	533.459
534	521.997	6.03174	0.0115551	515.965
536	504.115	6.01884	0.0119394	498.096
538	485.992	5.99567	0.012337	479.997
540	467.76	5.96339	0.0127488	461.797
542	449.538	5.92321	0.0131762	443.614
544	431.431	5.87638	0.0136207	425.554
546	413.533	5.82414	0.0140839	407.709
548	395.923	5.76772	0.0145678	390.155
550	378.669	5.7083	0.0150746	372.961
552	361.828	5.64698	0.0156068	356.181
554	345.443	5.58477	0.016167	339.859
556	329.552	5.5226	0.0167579	324.03
558	314.183	5.46127	0.0173825	308.721
560	299.354	5.40148	0.0180438	293.952
562	285.08	5.34379	0.0187449	279.736
564	271.369	5.28867	0.0194889	266.08
566	258.225	5.23644	0.0202786	252.989
568	245.649	5.18735	0.0211169	240.461
570	233.637	5.1415	0.0220063	228.496
572	222.186	5.09893	0.0229489	217.087
574	211.288	5.05958	0.0239464	206.228
576	200.935	5.02333	0.0249998	195.912
578	191.118	4.99	0.0261095	186.128
580	181.827	4.95934	0.027275	176.868
582	173.051	4.93109	0.028495	168.12
584	164.778	4.90495	0.029767	159.873
586	156.995	4.88061	0.0310877	152.114
588	149.689	4.85776	0.0324523	144.831
590	142.846	4.8361	0.0338553	138.01
592	136.451	4.81533	0.0352897	131.636
594	130.489	4.79518	0.0367479	125.693
596	124.941	4.77542	0.0382214	120.166
598	119.791	4.75582	0.039701	115.035
600	115.019	4.73621	0.0411775	110.283
602	110.607	4.71643	0.0426413	105.891
604	106.533	4.6964	0.0440838	101.837
606	102.777	4.67602	0.0454966	98.1015
608	99.3174	4.65527	0.0468726	94.6621
610	96.131	4.63413	0.0482064	91.4969
612	93.1962	4.61263	0.0494937	88.5835
614	90.4904	4.59082	0.0507326	85.8996
616	87.9917	4.56876	0.0519227	83.4229
618	85.6781	4.54656	0.0530656	81.1316
620	83.5288	4.5243	0.0541646	79.0045
622	81.5233	4.50212	0.0552249	77.0211
624	79.6424	4.48011	0.0562528	75.1623
626	77.8683	4.45841	0.0572557	73.4099
628	76.1844	4.43713	0.0582419	71.7473
630	74.5756	4.41638	0.0592202	70.1592
632	73.0284	4.39627	0.0601994	68.6322
634	71.5314	4.3769	0.0611885	67.1545
636	70.0745	4.35833	0.0621957	65.7161
638	68.6495	4.34065	0.0632291	64.3089
640	67.2502	4.32389	0.0642955	62.9263
642	65.8718	4.30809	0.0654012	61.5637
644	64.5113	4.29328	0.0665508	60.218
646	63.1671	4.27944	0.0677479	58.8876
648	61.839	4.26656	0.0689947	57.5724
650	60.5281	4.25462	0.0702916	56.2735
652	59.2365	4.24356	0.0716376	54.9929
654	57.9672	4.23334	0.0730298	53.7339
656	56.7239	4.22387	0.0744637	52.5001
658	55.5109	4.2151	0.0759328	51.2958
660	54.3325	4.20692	0.0774292	50.1256
662	53.1936	4.19926	0.078943	48.9943
664	52.0987	4.19203	0.0804632	47.9067
666	51.0523	4.18513	0.0819773	46.8671
668	50.0584	4.17846	0.0834718	45.8799
670	49.1207	4.17195	0.0849327	44.9487
672	48.2422	4.16551	0.0863459	44.0767
674	47.4252	4.15906	0.0876973	43.2661
676	46.6713	4.15253	0.0889739	42.5188
678	45.9814	4.14586	0.0901638	41.8355
680	45.3553	4.13898	0.0912569	41.2163
682	44.7922	4.13187	0.0922453	40.6603
684	44.2905	4.12448	0.0931234	40.166
686	43.8476	4.11679	0.0938886	39.7308
688	43.4604	4.10878	0.0945409	39.3516
690	43.1249	4.10046	0.0950832	39.0245
692	42.8369	4.09182	0.095521	38.745
694	42.5912	4.08289	0.0958623	38.5083
696	42.3825	4.07368	0.096117	38.3088
698	42.2052	4.06423	0.0962969	38.1409
700	42.0534	4.05457	0.0964147	37.9988
702	41.9213	4.04475	0.0964844	37.8765
704	41.8028	4.03481	0.0965201	37.768
706	41.6924	4.02481	0.096536	37.6676
708	41.5843	4.0148	0.096546	37.5695
710	41.4736	4.00484	0.0965637	37.4687
712	41.3552	3.99498	0.0966015	37.3602
714	41.225	3.98526	0.0966711	37.2397
716	41.0791	3.97576	0.096783	37.1034
718	40.9145	3.96651	0.0969464	36.948
720	40.7285	3.95757	0.0971695	36.7709
722	40.5193	3.94897	0.0974589	36.5703
724	40.2857	3.94074	0.09782	36.3449
726	40.0271	3.93294	0.0982568	36.0942
728	39.7438	3.92557	0.0987719	35.8182
730	39.4364	3.91865	0.0993663	35.5178
732	39.1065	3.91221	0.10004	35.1943
734	38.7559	3.90624	0.100791	34.8496
736	38.3871	3.90076	0.101616	34.4864
738	38.0031	3.89574	0.102511	34.1074
740	37.6072	3.89118	0.103469	33.716
742	37.2031	3.88707	0.104482	33.316
744	36.7946	3.88337	0.105542	32.9112
746	36.3858	3.88007	0.106637	32.5057
748	35.9809	3.87712	0.107755	32.1038
750	35.5841	3.8745	0.108883	31.7096
752	35.1996	3.87216	0.110006	31.3274
754	34.8313	3.87007	0.111109	30.9612
756	34.4831	3.86817	0.112176	30.6149
758	34.1585	3.86643	0.113191	30.2921
760	33.861	3.86479	0.114137	29.9962
762	33.5933	3.86322	0.115	29.73
764	33.358	3.86167	0.115765	29.4963
766	33.1571	3.8601	0.116418	29.297
768	32.9923	3.85846	0.11695	29.1339
770	32.8648	3.85671	0.117351	29.0081
772	32.775	3.85482	0.117615	28.9202
774	32.7233	3.85276	0.117738	28.8705
776	32.7091	3.8505	0.11772	28.8586
778	32.7316	3.848	0.117562	28.8836
780	32.7895	3.84526	0.117271	28.9442
782	32.881	3.84225	0.116853	29.0387
784	33.0038	3.83895	0.116318	29.1649
786	33.1555	3.83537	0.115678	29.3201
788	33.333	3.83149	0.114946	29.5015
790	33.5331	3.82732	0.114136	29.7058
