lambda_nm	Fp	T	eta	Ploss
500	607.518	2.01976	0.00332462	605.498
502	620.164	2.01799	0.00325396	618.146
504	630.538	2.01532	0.00319619	628.523
506	638.131	2.00025	0.00313454	636.131
508	642.844	1.96886	0.00306273	640.875
510	644.966	1.92653	0.00298702	643.04
512	644.991	1.88465	0.00292197	643.107
514	643.354	1.8543	0.00288224	641.499
516	640.239	1.84049	0.00287469	638.399
518	635.551	1.83977	0.00289476	633.712
520	629.041	1.84238	0.00292887	627.198
522	620.526	1.83768	0.00296148	618.688
524	610.087	1.81986	0.00298296	608.267
526	598.144	1.79134	0.00299482	596.352
528	585.37	1.76193	0.00300995	583.608
530	572.5	1.74465	0.00304743	570.755
532	560.101	1.74992	0.00312429	558.352
534	548.427	1.78118	0.0032478	546.646
536	537.398	1.83393	0.00341262	535.564
538	526.726	1.89859	0.00360451	524.827
540	516.115	1.96586	0.00380896	514.15
542	505.459	2.03232	0.00402073	503.427
544	494.939	2.10341	0.00424985	492.835
546	484.997	2.19284	0.00452136	482.804
548	476.194	2.31823	0.00486825	473.876
550	469.012	2.49508	0.00531986	466.517
552	463.683	2.73157	0.00589104	460.951
554	460.123	3.02655	0.0065777	457.096
556	457.992	3.37178	0.00736208	454.62
558	456.865	3.75793	0.00822547	453.107
560	456.445	4.18213	0.0091624	452.263
562	456.748	4.65422	0.0101899	452.094
564	458.18	5.19921	0.0113475	452.981
566	461.483	5.85473	0.0126868	455.628
568	467.566	6.66407	0.0142527	460.902
570	477.274	7.6672	0.0160646	469.607
572	491.183	8.8931	0.0181055	482.29
574	509.494	10.3567	0.0203274	499.138
576	532.062	12.0622	0.0226707	520
578	558.568	14.0135	0.0250882	544.554
580	588.771	16.2276	0.0275619	572.543
582	622.769	18.75	0.0301075	604.019
584	661.166	21.6633	0.0327653	639.503
586	705.076	25.0885	0.0355827	679.987
588	755.932	29.1736	0.0385929	726.758
590	815.126	34.0712	0.0417987	781.055
592	883.539	39.9078	0.0451681	843.631
594	961.065	46.7491	0.048643	914.316
596	1046.26	54.5695	0.0521567	991.693
598	1136.19	63.2314	0.0556522	1072.96
600	1226.51	72.4789	0.0590934	1154.04
602	1311.89	81.9501	0.062467	1229.94
604	1386.54	91.2056	0.0657793	1295.33
606	1444.93	99.7713	0.0690493	1345.16
608	1482.5	107.188	0.0723022	1375.31
610	1496.22	113.06	0.0755634	1383.16
612	1485	117.099	0.0788547	1367.9
614	1449.73	119.154	0.0821901	1330.58
616	1393.19	119.219	0.0855728	1273.97
618	1319.59	117.434	0.0889926	1202.16
620	1234.04	114.054	0.0924234	1119.98
622	1141.92	109.422	0.0958231	1032.49
624	1048.28	103.923	0.0991358	944.362
626	957.405	97.942	0.102299	859.463
628	872.434	91.8306	0.105258	780.604
630	795.299	85.8746	0.107978	709.424
632	726.761	80.2803	0.110463	646.481
634	666.621	75.1696	0.112762	591.451
636	614.003	70.5873	0.114963	543.415
638	567.677	66.516	0.117172	501.161
640	526.353	62.8955	0.119493	463.458
642	488.903	59.6443	0.121996	429.258
644	454.498	56.6779	0.124705	397.82
646	422.654	53.9239	0.127584	368.73
648	393.194	51.33	0.130546	341.864
650	366.158	48.8679	0.133461	317.291
652	341.685	46.5305	0.136179	295.155
654	319.899	44.3266	0.138565	275.572
656	300.818	42.2734	0.140528	258.544
658	284.311	40.3885	0.142057	243.923
660	270.09	38.6839	0.143226	231.406
662	257.74	37.1613	0.144181	220.579
664	246.782	35.811	0.145112	210.971
666	236.742	34.6128	0.146204	202.129
668	227.219	33.539	0.147607	193.68
670	217.928	32.5584	0.1494	185.37
672	208.733	31.641	0.151586	177.092
674	199.638	30.7618	0.154088	168.876
676	190.761	29.9032	0.156758	160.857
678	182.292	29.0568	0.159397	153.235
680	174.442	28.2224	0.161787	146.219
682	167.39	27.407	0.163732	139.983
684	161.248	26.6218	0.165098	134.627
686	156.036	25.8794	0.165855	130.157
688	151.678	25.191	0.166082	126.487
690	148.015	24.5642	0.165957	123.451
692	144.834	24.0015	0.165717	120.833
694	141.901	23.5	0.165609	118.401
696	138.997	23.0517	0.165843	115.945
698	135.952	22.6452	0.166568	113.307
700	132.666	22.2672	0.167844	110.399
702	129.117	21.9045	0.169648	107.212
704	125.359	21.5456	0.171871	103.813
706	121.507	21.1826	0.174332	100.325
708	117.713	20.8114	0.176797	96.9018
710	114.139	20.4321	0.179011	93.7066
712	110.928	20.0487	0.180736	90.8791
714	108.184	19.6676	0.181798	88.5164
716	105.956	19.2969	0.182122	86.659
718	104.23	18.9447	0.181758	85.2858
720	102.937	18.6179	0.180867	84.3192
722	101.959	18.321	0.179689	83.6384
724	101.153	18.0559	0.1785	83.0975
726	100.368	17.8214	0.17756	82.547
728	99.4677	17.6134	0.177077	81.8543
730	98.3472	17.4259	0.177188	80.9213
732	96.9472	17.2516	0.177948	79.6957
734	95.2586	17.0827	0.17933	78.1758
736	93.3211	16.9125	0.181229	76.4086
738	91.216	16.7356	0.183472	74.4804
740	89.0526	16.5485	0.185829	72.504
742	86.9525	16.3505	0.188039	70.602
744	85.0328	16.1428	0.189843	68.8899
746	83.3904	15.9289	0.191016	67.4615
748	82.0903	15.7134	0.191416	66.3769
750	81.1578	15.5019	0.191009	65.656
752	80.5768	15.2998	0.189878	65.277
754	80.2925	15.1118	0.18821	65.1807
756	80.2199	14.9415	0.186257	65.2784
758	80.2544	14.7907	0.184298	65.4637
760	80.2852	14.6593	0.18259	65.6259
762	80.2086	14.5455	0.181346	65.6631
764	79.9399	14.446	0.180711	65.4939
766	79.4224	14.3564	0.18076	65.066
768	78.6333	14.2719	0.181499	64.3614
770	77.5848	14.1874	0.182864	63.3973
772	76.3215	14.0987	0.184728	62.2228
774	74.9147	14.0023	0.18691	60.9124
776	73.4528	13.8962	0.189185	59.5566
778	72.0313	13.7797	0.191302	58.2516
780	70.742	13.6538	0.193008	57.0883
782	69.6629	13.5205	0.194084	56.1425
784	68.8501	13.383	0.194379	55.4671
786	68.3323	13.2452	0.193835	55.0871
788	68.1086	13.111	0.192501	54.9976
790	68.1491	12.9842	0.190526	55.165
792	68.399	12.8679	0.18813	55.5311
794	68.7844	12.7644	0.185571	56.02
796	69.2208	12.6748	0.183107	56.546
798	69.6213	12.599	0.180965	57.0223
800	69.9056	12.5359	0.179326	57.3697
802	70.0076	12.4831	0.178311	57.5245
804	69.8816	12.4377	0.177983	57.4438
806	69.5058	12.3963	0.178349	57.1095
808	68.8842	12.3552	0.179363	56.529
810	68.0454	12.3112	0.180926	55.7342
812	67.0392	12.2613	0.182898	54.7778
814	65.9313	12.2036	0.185095	53.7277
816	64.7972	12.1367	0.187303	52.6604
818	63.7145	12.0606	0.189291	51.654
820	62.7564	11.976	0.190832	50.7804
822	61.9845	11.8845	0.191734	50.1
824	61.4439	11.7886	0.191859	49.6554
826	61.1597	11.6909	0.191154	49.4688
828	61.1349	11.5946	0.189656	49.5403
830	61.3506	11.5025	0.187488	49.8481
832	61.7684	11.4173	0.184841	50.3511
834	62.3338	11.3411	0.181942	50.9927
836	62.9812	11.2753	0.179027	51.7058
838	63.6393	11.2205	0.176314	52.4188
840	64.2377	11.1765	0.173987	53.0612
842	64.7121	11.1423	0.172183	53.5698
844	65.0098	11.1163	0.170994	53.8935
846	65.0932	11.0961	0.170465	53.9971
848	64.943	11.0793	0.1706	53.8638
850	64.5592	11.0631	0.171363	53.4961
852	63.9603	11.0448	0.172682	52.9155
854	63.1823	11.0222	0.17445	52.1602
856	62.2749	10.9932	0.176527	51.2817
858	61.2975	10.9566	0.178744	50.341
860	60.3151	10.9116	0.180909	49.4035
862	59.3924	10.8582	0.182821	48.5342
864	58.5898	10.7971	0.184283	47.7928
866	57.9587	10.7296	0.185125	47.2291
868	57.5377	10.6575	0.185226	46.8802
870	57.3502	10.5829	0.18453	46.7674
872	57.4032	10.5081	0.183058	46.8952
874	57.6868	10.4356	0.1809	47.2512
876	58.175	10.3675	0.178212	47.8075
878	58.8283	10.3058	0.175184	48.5225
880	59.5963	10.252	0.172023	49.3444
882	60.4215	10.207	0.16893	50.2144
884	61.2429	10.1714	0.166083	51.0715
886	62.001	10.1449	0.163625	51.8561
888	62.6409	10.1269	0.161665	52.514
890	63.1163	10.116	0.160275	53.0003
892	63.3923	10.1106	0.159493	53.2817
894	63.4475	10.1088	0.159326	53.3387
896	63.2752	10.1085	0.159754	53.1667
898	62.8835	10.1074	0.160732	52.7761
900	62.2946	10.1036	0.16219	52.191
