lambda_nm	Fp	T	eta	Ploss
500	258.006	0.454244	0.00176059	257.552
502	261.494	0.445124	0.00170224	261.048
504	264.279	0.434946	0.00164578	263.844
506	266.346	0.423787	0.00159111	265.922
508	267.685	0.411736	0.00153814	267.273
510	268.294	0.398892	0.00148677	267.895
512	268.178	0.38536	0.00143696	267.793
514	267.349	0.371248	0.00138863	266.977
516	265.824	0.356672	0.00134176	265.467
518	263.628	0.341747	0.00129632	263.287
520	260.79	0.326589	0.00125231	260.464
522	257.344	0.311314	0.00120972	257.033
524	253.327	0.296034	0.00116858	253.031
526	248.782	0.280856	0.00112893	248.501
528	243.751	0.265886	0.00109081	243.485
530	238.281	0.251219	0.0010543	238.029
532	232.419	0.236945	0.00101947	232.182
534	226.216	0.223148	0.00098644	225.992
536	219.718	0.209901	0.000955318	219.508
538	212.976	0.197268	0.000926247	212.779
540	206.037	0.185307	0.000899387	205.852
542	198.948	0.174063	0.000874917	198.774
544	191.755	0.163575	0.000853039	191.592
546	184.501	0.15387	0.000833977	184.347
548	177.227	0.144968	0.000817978	177.082
550	169.973	0.13688	0.000805309	169.836
552	162.773	0.12961	0.000796262	162.643
554	155.661	0.123151	0.00079115	155.537
556	148.667	0.117492	0.000790306	148.549
558	141.818	0.112615	0.000794084	141.705
560	135.138	0.108496	0.000802853	135.03
562	128.648	0.105105	0.000816997	128.543
564	122.366	0.102409	0.000836908	122.263
566	116.306	0.10037	0.000862983	116.205
568	110.479	0.0989471	0.000895616	110.38
570	104.896	0.098098	0.000935192	104.798
572	99.5624	0.097778	0.000982077	99.4647
574	94.4821	0.0979415	0.00103661	94.3842
576	89.657	0.0985422	0.0010991	89.5584
578	85.0865	0.0995341	0.0011698	84.9869
580	80.7684	0.100872	0.0012489	80.6675
582	76.6986	0.102511	0.00133654	76.5961
584	72.8718	0.104408	0.00143277	72.7673
586	69.2809	0.106523	0.00153755	69.1744
588	65.9182	0.108816	0.00165077	65.8094
590	62.7747	0.11125	0.00177222	62.6635
592	59.841	0.113793	0.00190158	59.7272
594	57.1068	0.116411	0.00203848	56.9904
596	54.5616	0.119078	0.00218244	54.4426
598	52.1948	0.121766	0.00233292	52.073
600	49.9952	0.124455	0.00248934	49.8708
602	47.9521	0.127124	0.00265105	47.825
604	46.0548	0.129756	0.00281742	45.925
606	44.2925	0.132337	0.00298779	44.1602
608	42.6552	0.134856	0.00316153	42.5204
610	41.133	0.137304	0.00333804	40.9957
612	39.7165	0.139674	0.00351679	39.5768
614	38.3967	0.141963	0.00369727	38.2547
616	37.1652	0.144167	0.0038791	37.021
618	36.0141	0.146287	0.00406192	35.8679
620	34.9363	0.148322	0.00424551	34.788
622	33.925	0.150277	0.00442967	33.7747
624	32.9739	0.152153	0.00461434	32.8218
626	32.0776	0.153956	0.00479948	31.9236
628	31.2309	0.155691	0.00498514	31.0753
630	30.4295	0.157363	0.00517142	30.2721
632	29.6691	0.15898	0.00535845	29.5101
634	28.9463	0.160548	0.0055464	28.7857
636	28.2579	0.162073	0.00573547	28.0959
638	27.6013	0.163561	0.00592585	27.4378
640	26.9741	0.16502	0.00611773	26.809
642	26.3741	0.166455	0.0063113	26.2077
644	25.7998	0.167872	0.0065067	25.632
646	25.2497	0.169276	0.00670408	25.0804
648	24.7224	0.170672	0.00690351	24.5518
650	24.217	0.172063	0.00710505	24.045
652	23.7325	0.173454	0.00730869	23.5591
654	23.2682	0.174846	0.00751438	23.0934
656	22.8234	0.176243	0.00772203	22.6472
658	22.3975	0.177646	0.00793149	22.2199
660	21.99	0.179054	0.00814254	21.8109
662	21.6003	0.18047	0.00835496	21.4199
664	21.2281	0.181892	0.00856845	21.0462
666	20.8727	0.183319	0.0087827	20.6894
668	20.5338	0.18475	0.00899736	20.349
670	20.2108	0.186183	0.00921206	20.0246
672	19.9032	0.187616	0.00942643	19.7156
674	19.6105	0.189047	0.00964008	19.4215
676	19.3321	0.190472	0.00985263	19.1416
678	19.0673	0.191888	0.0100637	18.8754
680	18.8156	0.193293	0.010273	18.6223
682	18.5762	0.194683	0.0104802	18.3816
684	18.3486	0.196055	0.010685	18.1525
686	18.1319	0.197405	0.0108872	17.9345
688	17.9255	0.198731	0.0110865	17.7268
690	17.7287	0.200029	0.0112828	17.5286
692	17.5406	0.201297	0.0114761	17.3393
694	17.3607	0.202532	0.0116661	17.1582
696	17.1882	0.203732	0.011853	16.9845
698	17.0225	0.204894	0.0120367	16.8176
700	16.8628	0.206017	0.0122173	16.6567
702	16.7085	0.207099	0.0123948	16.5014
704	16.5591	0.20814	0.0125695	16.351
706	16.4141	0.209139	0.0127414	16.205
708	16.2729	0.210095	0.0129107	16.0628
710	16.1351	0.211009	0.0130776	15.9241
712	16.0003	0.21188	0.0132422	15.7884
714	15.8682	0.21271	0.0134048	15.6555
716	15.7385	0.213499	0.0135654	15.525
718	15.611	0.214249	0.0137242	15.3968
720	15.4855	0.214962	0.0138815	15.2706
722	15.362	0.215639	0.0140372	15.1464
724	15.2403	0.216283	0.0141915	15.0241
726	15.1206	0.216897	0.0143445	14.9037
728	15.0027	0.217481	0.0144961	14.7853
730	14.8869	0.21804	0.0146464	14.6689
732	14.7733	0.218577	0.0147954	14.5548
734	14.6621	0.219093	0.0149428	14.443
736	14.5534	0.219592	0.0150888	14.3338
738	14.4474	0.220078	0.015233	14.2274
740	14.3446	0.220553	0.0153753	14.124
742	14.245	0.221019	0.0155155	14.024
744	14.1491	0.221481	0.0156534	13.9276
746	14.057	0.22194	0.0157886	13.835
748	13.9691	0.222399	0.0159208	13.7467
750	13.8856	0.222862	0.0160498	13.6628
752	13.8069	0.223329	0.0161752	13.5835
754	13.7331	0.223804	0.0162968	13.5093
756	13.6645	0.224289	0.016414	13.4402
758	13.6013	0.224785	0.0165267	13.3765
760	13.5437	0.225293	0.0166345	13.3184
762	13.4918	0.225815	0.0167372	13.266
764	13.4457	0.226352	0.0168345	13.2194
766	13.4056	0.226905	0.0169262	13.1787
768	13.3714	0.227475	0.017012	13.1439
770	13.3432	0.228061	0.0170919	13.1151
772	13.3209	0.228663	0.0171657	13.0922
774	13.3045	0.229283	0.0172335	13.0752
776	13.2937	0.229918	0.0172953	13.0638
778	13.2885	0.230569	0.017351	13.058
780	13.2887	0.231235	0.0174009	13.0575
782	13.294	0.231914	0.017445	13.0621
784	13.3041	0.232606	0.0174837	13.0715
786	13.3188	0.233309	0.0175172	13.0855
788	13.3377	0.234021	0.0175458	13.1037
790	13.3604	0.234741	0.0175699	13.1257
