lambda_nm	Fp	T	eta	Ploss
500	129.943	1.25008	0.00962018	128.693
502	133.858	1.23349	0.00921493	132.624
504	137.278	1.20895	0.0088066	136.069
506	140.312	1.17852	0.00839926	139.134
508	143.094	1.14741	0.00801861	141.946
510	145.687	1.12123	0.00769617	144.566
512	148.033	1.1031	0.00745169	146.93
514	149.965	1.09218	0.00728295	148.872
516	151.271	1.08418	0.00716714	150.187
518	151.797	1.07345	0.00707164	150.723
520	151.509	1.0557	0.00696791	150.454
522	150.525	1.03	0.00684276	149.495
524	149.068	0.999194	0.00670293	148.069
526	147.394	0.968586	0.00657141	146.425
528	145.698	0.943635	0.00647665	144.754
530	144.06	0.92762	0.00643911	143.133
532	142.438	0.920389	0.00646168	141.518
534	140.711	0.918671	0.00652879	139.792
536	138.757	0.917809	0.0066145	137.839
538	136.531	0.914131	0.00669541	135.617
540	134.106	0.906952	0.00676297	133.199
542	131.67	0.899373	0.0068305	130.771
544	129.48	0.897521	0.00693175	128.582
546	127.78	0.908572	0.00711046	126.871
548	126.731	0.938325	0.0074041	125.792
550	126.368	0.989358	0.00782919	125.378
552	126.603	1.0605	0.00837659	125.543
554	127.276	1.14797	0.00901952	126.128
556	128.227	1.24771	0.00973048	126.98
558	129.38	1.35829	0.0104985	128.022
560	130.789	1.48311	0.0113397	129.306
562	132.65	1.63121	0.0122971	131.019
564	135.259	1.81624	0.0134278	133.443
566	138.941	2.05389	0.0147825	136.887
568	143.964	2.35861	0.0163833	141.606
570	150.478	2.74081	0.0182141	147.737
572	158.489	3.20571	0.0202268	155.283
574	167.889	3.75452	0.022363	164.135
576	178.53	4.38798	0.0245783	174.142
578	190.318	5.11158	0.0268581	185.206
580	203.306	5.941	0.029222	197.365
582	217.752	6.90613	0.0317155	210.846
584	234.117	8.05217	0.0343938	226.065
586	252.99	9.43664	0.0373005	243.553
588	274.958	11.1222	0.0404507	263.836
590	300.441	13.1663	0.0438232	287.274
592	329.518	15.6083	0.047367	313.91
594	361.794	18.4579	0.0510176	343.337
596	396.332	21.6855	0.0547154	374.647
598	431.669	25.2175	0.0584186	406.451
600	465.928	28.9375	0.0621073	436.99
602	497.006	32.6939	0.0657817	464.312
604	522.806	36.3124	0.0694568	486.494
606	541.489	39.6133	0.0731563	501.875
608	551.69	42.4291	0.0769075	509.261
610	552.683	44.6218	0.0807367	508.062
612	544.454	46.097	0.0846663	498.357
614	527.688	46.8117	0.0887109	480.876
616	503.665	46.7773	0.0928738	456.888
618	474.098	46.0557	0.0971439	428.042
620	440.919	44.7498	0.101492	396.169
622	406.071	42.9905	0.105869	363.081
624	371.314	40.922	0.110209	330.392
626	338.077	38.687	0.114432	299.39
628	307.375	36.4133	0.118466	270.962
630	279.783	34.2051	0.122256	245.578
632	255.471	32.1366	0.125793	223.335
634	234.284	30.2515	0.129123	204.033
636	215.845	28.5651	0.132341	187.28
638	199.664	27.0699	0.135577	172.594
640	185.244	25.7425	0.138966	159.501
642	172.151	24.5512	0.142614	147.6
644	160.071	23.463	0.146579	136.608
646	148.816	22.449	0.15085	126.367
648	138.322	21.4878	0.155347	116.834
650	128.609	20.5674	0.159922	108.041
652	119.746	19.6843	0.164384	100.062
654	111.807	18.842	0.168522	92.9651
656	104.833	18.048	0.172159	86.7851
658	98.8125	17.3112	0.175193	81.5013
660	93.6718	16.639	0.177631	77.0328
662	89.282	16.0353	0.179603	73.2467
664	85.4762	15.4994	0.18133	69.9768
666	82.0733	15.0262	0.183083	67.047
668	78.9029	14.6067	0.185123	64.2962
670	75.8279	14.2293	0.187653	61.5986
672	72.7589	13.8818	0.190792	58.8771
674	69.6607	13.5526	0.194551	56.1081
676	66.5492	13.2324	0.198837	53.3167
678	63.4805	12.9152	0.203451	50.5653
680	60.5354	12.5983	0.208115	47.9371
682	57.8004	12.2825	0.212498	45.5179
684	55.3504	11.9711	0.216278	43.3793
686	53.235	11.6692	0.219202	41.5658
688	51.4698	11.3825	0.221148	40.0873
690	50.0339	11.1159	0.222167	38.918
692	48.874	10.8732	0.222474	38.0008
694	47.913	10.6561	0.222404	37.257
696	47.062	10.4639	0.222342	36.5981
698	46.2329	10.294	0.222654	35.939
700	45.3513	10.142	0.223632	35.2093
702	44.3652	10.0027	0.225464	34.3624
704	43.2508	9.8705	0.228215	33.3803
706	42.0141	9.74019	0.231832	32.2739
708	40.6871	9.60775	0.236137	31.0793
710	39.3219	9.47064	0.240849	29.8513
712	37.9815	9.32802	0.245593	28.6535
714	36.7299	9.18069	0.249951	27.5492
716	35.6227	9.03086	0.253514	26.5919
718	34.6996	8.88166	0.255959	25.8179
720	33.9792	8.73669	0.257119	25.2425
722	33.4571	8.59946	0.25703	24.8576
