lambda_nm	Fp	T	eta	Ploss
500	1684.16	2.04258	0.00121282	1682.12
502	1765.23	1.99361	0.00112937	1763.24
504	1850.99	1.94494	0.00105075	1849.05
506	1942.35	1.91087	0.000983797	1940.44
508	2039.8	1.89731	0.000930145	2037.9
510	2143.33	1.89839	0.000885718	2141.43
512	2252.54	1.9003	0.000843625	2250.64
514	2366.99	1.88963	0.000798327	2365.1
516	2486.42	1.86114	0.000748521	2484.56
518	2610.83	1.82071	0.00069737	2609.01
520	2740.16	1.78198	0.000650318	2738.38
522	2873.89	1.75878	0.000611987	2872.13
524	3010.55	1.75788	0.000583906	3008.79
526	3147.48	1.77573	0.000564174	3145.71
528	3280.92	1.8011	0.000548962	3279.12
530	3406.27	1.8218	0.000534837	3404.45
532	3518.61	1.83193	0.000520642	3516.77
534	3613.16	1.83585	0.000508101	3611.32
536	3685.7	1.84677	0.000501064	3683.85
538	3732.81	1.88085	0.00050387	3730.93
540	3752.03	1.94973	0.000519646	3750.08
542	3741.97	2.0553	0.000549255	3739.92
544	3702.49	2.18942	0.000591336	3700.31
546	3634.8	2.33873	0.000643428	3632.46
548	3541.49	2.49239	0.000703768	3539
550	3426.54	2.64914	0.000773124	3423.89
552	3294.91	2.82027	0.000855948	3292.09
554	3152.13	3.02706	0.000960322	3149.11
556	3003.67	3.2936	0.00109652	3000.37
558	2854.33	3.63813	0.0012746	2850.69
560	2707.89	4.06692	0.00150188	2703.82
562	2566.89	4.57357	0.00178175	2562.32
564	2432.84	5.14465	0.00211466	2427.7
566	2306.53	5.76986	0.00250154	2300.76
568	2188.44	6.45288	0.00294862	2181.99
570	2079.17	7.21849	0.00347181	2071.95
572	1979.56	8.11288	0.00409831	1971.45
574	1890.68	9.19641	0.00486408	1881.48
576	1813.56	10.5312	0.0058069	1803.03
578	1748.97	12.168	0.00695726	1736.8
580	1697.11	14.1382	0.00833076	1682.97
582	1657.61	16.4543	0.0099265	1641.16
584	1629.69	19.1216	0.0117333	1610.57
586	1612.48	22.1579	0.0137415	1590.32
588	1605.44	25.6157	0.0159555	1579.83
590	1608.76	29.6004	0.0183995	1579.16
592	1623.45	34.276	0.0211131	1589.17
594	1651.2	39.8531	0.0241358	1611.35
596	1693.93	46.5589	0.0274857	1647.37
598	1753.06	54.5914	0.0311406	1698.47
600	1828.78	64.0667	0.0350325	1764.71
602	1919.36	74.9691	0.0390594	1844.39
604	2020.83	87.1151	0.0431087	1933.71
606	2126.95	100.141	0.0470818	2026.81
608	2229.77	113.516	0.0509093	2116.26
610	2320.42	126.589	0.0545544	2193.83
612	2390.2	138.65	0.0580076	2251.55
614	2431.76	149.01	0.0612765	2282.75
616	2440	157.079	0.0643766	2282.92
618	2412.77	162.433	0.0673223	2250.33
620	2351.06	164.86	0.0701217	2186.2
622	2258.79	164.377	0.0727723	2094.41
624	2142.17	161.218	0.075259	1980.95
626	2008.83	155.794	0.0775549	1853.03
628	1866.79	148.641	0.0796239	1718.15
630	1723.57	140.348	0.0814284	1583.23
632	1585.4	131.492	0.082939	1453.91
634	1456.76	122.583	0.0841474	1334.18
636	1340.25	114.023	0.0850761	1226.23
638	1236.7	106.087	0.0857821	1130.62
640	1145.56	98.918	0.0863492	1046.64
642	1065.32	92.5465	0.0868718	972.776
644	994.096	86.9166	0.0874328	907.179
646	929.995	81.9193	0.0880858	848.076
648	871.475	77.4248	0.0888435	794.05
650	817.489	73.3101	0.0896772	744.179
652	767.506	69.4781	0.0905245	698.028
654	721.408	65.8672	0.0913037	655.541
656	679.319	62.4511	0.091932	616.867
658	641.417	59.2327	0.0923466	582.185
660	607.776	56.2323	0.0925214	551.544
662	578.255	53.4756	0.0924775	524.779
664	552.469	50.9822	0.0922807	501.487
666	529.825	48.7583	0.0920272	481.067
668	509.603	46.7925	0.0918213	462.811
670	491.071	45.0568	0.0917522	446.014
672	473.587	43.511	0.0918754	430.076
674	456.692	42.1087	0.0922035	414.584
676	440.147	40.8043	0.092706	399.343
678	423.935	39.5597	0.0933154	384.375
680	408.22	38.3484	0.0939403	369.872
682	393.277	37.1574	0.0944815	356.12
684	379.406	35.9869	0.0948506	343.42
686	366.858	34.8475	0.0949891	332.01
688	355.768	33.7559	0.0948815	322.013
690	346.131	32.7303	0.0945604	313.401
692	337.793	31.7863	0.0941001	306.006
694	330.482	30.9332	0.0936002	299.549
696	323.859	30.1723	0.093165	293.687
698	317.57	29.4968	0.0928826	288.074
700	311.309	28.8926	0.09281	282.417
702	304.86	28.3415	0.0929655	276.519
704	298.125	27.8233	0.0933277	270.302
706	291.131	27.3197	0.09384	263.811
708	284.008	26.816	0.0944198	257.192
710	276.965	26.3035	0.0949704	250.661
712	270.238	25.7798	0.0953967	244.458
714	264.05	25.2487	0.0956207	238.801
716	258.57	24.7185	0.0955968	233.852
718	253.886	24.2006	0.0953209	229.685
720	249.988	23.707	0.0948325	226.281
722	246.778	23.2481	0.0942066	223.53
724	244.082	22.8314	0.0935395	221.251
726	241.684	22.4598	0.0929303	219.224
728	239.355	22.132	0.0924649	217.223
730	236.893	21.8422	0.0922028	215.05
732	234.145	21.5814	0.0921714	212.563
734	231.032	21.3389	0.0923634	209.693
736	227.555	21.1035	0.0927401	206.452
738	223.789	20.8653	0.0932363	202.924
740	219.869	20.6169	0.093769	199.252
742	215.966	20.3542	0.0942474	195.612
744	212.26	20.0768	0.0945857	192.184
