lambda_nm	Fp	T	eta	Ploss
500	538.377	1.8937	0.00351742	536.484
502	549.772	1.87225	0.00340551	547.9
504	559.271	1.84044	0.00329078	557.431
506	567.292	1.81075	0.00319192	565.481
508	574.211	1.79306	0.00312265	572.418
510	579.95	1.78528	0.00307834	578.165
512	584.033	1.7754	0.0030399	582.258
514	586.059	1.75225	0.00298988	584.307
516	586.127	1.71502	0.00292603	584.412
518	584.847	1.67335	0.00286117	583.173
520	582.936	1.63849	0.00281076	581.298
522	580.758	1.61381	0.0027788	579.144
524	578.177	1.59235	0.00275408	576.585
526	574.838	1.56321	0.00271939	573.275
528	570.595	1.52083	0.00266535	569.074
530	565.741	1.46949	0.00259746	564.272
532	560.853	1.41975	0.00253141	559.433
534	556.386	1.38009	0.00248046	555.006
536	552.356	1.35061	0.00244518	551.005
538	548.343	1.3235	0.00241363	547.02
540	543.815	1.28966	0.0023715	542.525
542	538.503	1.24602	0.00231386	537.257
544	532.563	1.19808	0.00224965	531.365
546	526.401	1.15596	0.00219596	525.245
548	520.299	1.12714	0.00216634	519.172
550	514.123	1.11145	0.00216184	513.011
552	507.32	1.10178	0.00217177	506.219
554	499.216	1.08996	0.00218334	498.126
556	489.402	1.07333	0.00219314	488.329
558	477.977	1.05743	0.00221229	476.92
560	465.481	1.05283	0.0022618	464.429
562	452.59	1.06852	0.00236089	451.521
564	439.769	1.1064	0.00251587	438.663
566	427.114	1.16082	0.00271782	425.954
568	414.462	1.22349	0.00295199	413.239
570	401.684	1.29062	0.00321302	400.393
572	388.962	1.36745	0.00351563	387.594
574	376.864	1.46713	0.003893	375.397
576	366.158	1.60439	0.00438169	364.553
578	357.478	1.78791	0.00500146	355.69
580	351.044	2.01643	0.0057441	349.028
582	346.596	2.28128	0.00658197	344.315
584	343.594	2.57444	0.00749267	341.02
586	341.578	2.89756	0.00848287	338.68
588	340.473	3.26658	0.00959423	337.207
590	340.696	3.70879	0.0108859	336.987
592	342.978	4.25338	0.0124013	338.724
594	348.021	4.92061	0.0141388	343.1
596	356.17	5.71582	0.016048	350.455
598	367.281	6.63273	0.018059	360.648
600	380.865	7.66566	0.0201269	373.2
602	396.457	8.82535	0.0222606	387.632
604	414.002	10.1508	0.0245188	403.851
606	434.087	11.7104	0.0269771	422.377
608	457.884	13.5908	0.0296818	444.293
610	486.817	15.8778	0.0326156	470.939
612	522.127	18.6388	0.0356978	503.488
614	564.548	21.9169	0.038822	542.631
616	614.264	25.7427	0.0419082	588.522
618	671.21	30.1626	0.0449376	641.048
620	735.576	35.2734	0.0479535	700.303
622	808.285	41.2483	0.0510319	767.036
624	891.156	48.3371	0.0542409	842.819
626	986.578	56.8323	0.0576055	929.745
628	1096.67	66.9999	0.061094	1029.67
630	1222.13	78.9878	0.0646312	1143.14
632	1361.1	92.7339	0.0681314	1268.37
634	1508.48	107.901	0.0715296	1400.58
636	1655.86	123.857	0.074799	1532
638	1792.42	139.717	0.0779489	1652.7
640	1906.41	154.445	0.0810131	1751.97
642	1987.11	166.987	0.0840354	1820.12
644	2026.62	176.433	0.0870574	1850.19
646	2021.33	182.144	0.0901106	1839.19
648	1972.43	183.848	0.0932092	1788.58
650	1885.58	181.67	0.0963468	1703.91
652	1769.84	176.088	0.0994937	1593.75
654	1635.99	167.848	0.102598	1468.14
656	1494.81	157.838	0.105591	1336.97
658	1355.55	146.947	0.108404	1208.6
660	1224.94	135.959	0.110993	1088.98
662	1106.85	125.465	0.113354	981.382
664	1002.49	115.834	0.115545	886.661
666	911.14	107.217	0.117674	803.923
