vx_pt,vy_pt
38.55860,154.20310
38.90620,153.35940
39.25000,152.52340
39.59380,151.69530
39.94140,150.87500
40.28520,150.06250
40.63280,149.25390
40.97660,148.45700
41.32420,147.66800
41.67190,146.88670
42.01950,146.11330
42.36330,145.34770
42.71090,144.58980
43.06250,143.83980
43.41020,143.10160
43.75780,142.37110
44.10550,141.64840
44.45700,140.93360
44.80470,140.22660
45.15620,139.53120
45.50780,138.84380
45.85550,138.16410
46.20700,137.49610
46.55860,136.83200
46.91020,136.17970
47.26170,135.53910
47.61330,134.90230
47.96480,134.27730
48.32030,133.66020
48.67190,133.05470
49.02730,132.45310
49.37890,131.86720
49.73440,131.28520
50.08590,130.71480
50.44140,130.15230
50.79690,129.60160
51.15230,129.05860
51.50780,128.52730
51.86330,128.00390
52.21880,127.49220
52.57810,126.99220
52.93360,126.50000
53.29300,126.01560
53.64840,125.54690
54.00780,125.08590
54.36330,124.63280
54.72270,124.19530
55.08200,123.76950
55.44140,123.35160
55.80080,122.94920
56.16020,122.55470
56.51950,122.17580
56.88280,121.80860
57.24220,121.45310
57.60550,121.10940
57.96480,120.78120
58.32810,120.46480
58.68750,120.16020
59.05080,119.87110
59.41410,119.59380
59.77730,119.33200
60.14060,119.08200
60.50390,118.85160
60.86720,118.62890
61.23440,118.42580
61.59770,118.23440
61.96480,118.05860
62.32810,117.89840
62.69530,117.75390
63.06250,117.62500
63.42580,117.50780
63.79300,117.40620
64.16020,117.32420
64.52730,117.25390
64.89840,117.19920
65.26560,117.16020
65.63280,117.13280
66.00390,117.12500
66.37110,117.12890
66.74220,117.14840
67.10940,117.18360
67.48050,117.23050
67.85160,117.29690
68.22270,117.37110
68.59380,117.46090
68.96480,117.56640
69.33590,117.68360
69.71090,117.81250
70.08200,117.95310
70.45700,118.10940
70.82810,118.27340
71.20310,118.45310
71.57810,118.64060
71.94920,118.83980
72.32420,119.05080
72.69920,119.26950
73.07420,119.50000
73.45310,119.73830
73.82810,119.98440
74.20310,120.24220
74.58200,120.50780
74.95700,120.77730
75.33590,121.05860
75.71480,121.34380
76.09380,121.63280
76.46880,121.93360
76.84770,122.23830
77.23050,122.54690
77.60940,122.85940
77.98830,123.17970
78.36720,123.50390
78.75000,123.83200
79.12890,124.16410
79.51170,124.50000
79.89450,124.83590
80.27730,125.17970
80.65620,125.52340
81.03910,125.87110
81.42580,126.22270
81.80860,126.57420
82.19140,126.92970
82.57420,127.28520
82.96090,127.64840
83.34380,128.00780
83.73050,128.37110
84.11720,128.73830
84.50390,129.10940
84.89060,129.48050
85.27730,129.85160
85.66410,130.22660
86.05080,130.60550
86.43750,130.98440
86.82810,131.36720
87.21480,131.75390
87.60550,132.14450
87.99220,132.53520
88.38280,132.92970
88.77340,133.32810
89.16410,133.73050
89.55470,134.13670
89.94530,134.54690
90.33980,134.96090
90.73050,135.37500
91.12110,135.80080
91.51560,136.22660
91.91020,136.65620
92.30080,137.09380
92.69530,137.53520
93.08980,137.98050
93.48440,138.43360
93.87890,138.89060
94.27340,139.35160
94.67190,139.82030
95.06640,140.29300
95.46480,140.77340
95.85940,141.25780
96.25780,141.75000
96.65620,142.24610
97.05080,142.75000
97.44920,143.25780
97.85160,143.76950
98.25000,144.29300
98.64840,144.81640
99.04690,145.34770
99.44920,145.88670
99.84770,146.42580
100.25000,146.97660
100.65230,147.52730
101.05470,148.08590
101.45700,148.64840
101.85940,149.21880
102.26170,149.78910
102.66410,150.36720
103.07030,150.94920
103.47270,151.53520
103.87890,152.12500
104.28120,152.71480
104.68750,153.31250
105.09380,153.91410
105.50000,154.51950
105.90620,155.12500
106.31250,155.73440
106.71880,156.34770
107.12890,156.96090
107.53520,157.58200
107.94530,158.19920
108.35550,158.82420
108.76170,159.44920
109.17190,160.07420
109.58200,160.70310
109.99220,161.33590
110.40230,161.96880
110.81640,162.60160
111.22660,163.23830
111.64060,163.87890
112.05080,164.51950
112.46480,165.16020
112.87890,165.80470
113.29300,166.44920
113.70700,167.09770
114.12110,167.75000
114.53520,168.40230
114.94920,169.05470
115.36720,169.71090
115.78120,170.37110
116.19920,171.03120
116.61720,171.69530
117.03120,172.36330
117.44920,173.03120
117.86720,173.70700
118.28910,174.37890
118.70700,175.05860
119.12500,175.74220
119.54690,176.42580
119.96480,177.11330
120.38670,177.80470
120.80860,178.50000
121.23050,179.19920
121.65230,179.89840
122.07420,180.60550
122.49610,181.31250
122.91800,182.02340
123.34380,182.73830
123.76560,183.45700
124.19140,184.17580
124.61720,184.90230
125.03910,185.62500
125.46480,186.35550
125.89060,187.08200
126.32030,187.81640
126.74610,188.54690
127.17190,189.28120
127.60160,190.01560
128.02730,190.75000
128.45700,191.48440
128.88670,192.21480
129.31640,192.94530
129.74610,193.67580
130.17580,194.40230
130.60550,195.12500
131.03910,195.84380
131.46880,196.55860
131.90230,197.26560
132.33590,197.96880
132.76560,198.66800
133.19920,199.35550
133.63280,200.03520
134.07030,200.70700
134.50390,201.37110
134.93750,202.02340
135.37500,202.66410
135.80860,203.28910
136.24610,203.90620
136.68360,204.50780
137.12110,205.09380
137.55860,205.66800
137.99610,206.22270
138.43360,206.76170
138.87500,207.28520
139.31250,207.78910
139.75390,208.27730
140.19140,208.74220
140.63280,209.19140
141.07420,209.61720
141.51560,210.02340
141.95700,210.41020
142.40230,210.77340
142.84380,211.11330
143.28910,211.43360
143.73050,211.73050
144.17580,212.00390
144.62110,212.25390
145.06640,212.48050
145.51170,212.68360
145.95700,212.86330
146.40620,213.01950
146.85160,213.15230
147.30080,213.25780
147.74610,213.34380
148.19530,213.40620
148.64450,213.44140
149.09380,213.45700
149.54300,213.44920
149.99220,213.41800
150.44530,213.35940
150.89450,213.28520
151.34770,213.18360
