# lambda_nm	Fp_digitized (from Lumerical screenshot in 4.pdf; NOT raw data)
500	nan
502	610.8
504	620.5
506	629.3
508	635.4
510	639.8
512	641.6
514	641.6
516	640.7
518	632.8
520	624.9
522	616.1
524	605.5
526	594.1
528	581.7
530	569.4
532	558.0
534	545.7
536	532.5
538	521.0
540	509.6
542	499.0
544	488.4
546	478.8
548	470.8
550	464.7
552	459.4
554	455.9
556	453.2
558	451.5
560	449.7
562	451.5
564	454.1
566	460.3
568	467.3
570	475.2
572	489.3
574	510.5
576	536.9
578	567.7
580	602.0
582	642.5
584	690.9
586	745.4
588	806.2
590	874.8
592	939.1
594	1016.5
596	1096.6
598	1176.7
600	1259.4
602	1344.8
604	1413.4
606	1459.2
608	1475.9
610	nan
612	1458.3
614	1401.1
616	1313.1
618	1216.3
620	1110.7
622	1001.5
624	894.2
626	796.5
628	724.3
630	654.8
632	598.5
634	550.9
636	510.5
638	474.4
640	444.4
642	420.7
644	400.4
646	382.0
648	365.2
650	349.4
652	333.6
654	318.6
656	304.5
658	291.3
660	279.0
662	266.7
664	257.0
666	245.5
668	235.9
670	225.3
672	214.7
674	205.9
676	196.3
678	187.5
680	180.4
682	172.5
684	166.3
686	160.2
688	154.9
690	149.6
692	144.3
694	140.8
696	137.3
698	133.8
700	129.4
702	126.7
704	122.3
706	118.8
708	115.3
710	111.8
712	107.4
714	103.9
716	100.3
718	97.7
720	95.0
722	92.4
724	92.4
726	90.6
728	88.9
730	87.1
732	85.4
734	83.6
736	81.8
738	80.1
740	78.3
742	76.6
744	76.6
746	74.8
748	74.8
750	74.8
752	73.0
754	73.0
756	73.0
758	73.0
760	71.3
762	71.3
764	69.5
766	67.8
768	66.0
770	64.2
772	64.2
774	62.5
776	62.5
778	60.7
780	60.7
782	60.7
784	61.6
786	62.5
788	62.5
790	62.5
792	62.5
794	64.2
796	64.2
798	64.2
800	64.2
802	64.2
804	62.5
806	62.5
808	60.7
810	60.7
812	59.0
814	59.0
816	57.2
818	57.2
820	55.4
822	55.4
824	55.4
826	55.4
828	55.4
830	55.4
832	55.4
834	55.4
836	57.2
838	57.2
840	58.1
842	59.0
844	59.0
846	59.0
848	59.0
850	59.0
852	59.0
854	59.0
856	57.2
858	57.2
860	55.4
862	55.4
864	53.7
866	53.7
868	51.9
870	51.9
872	51.9
874	50.2
876	50.2
878	50.2
880	50.2
882	50.2
884	50.2
886	51.9
888	51.9
890	53.7
892	53.7
894	53.7
896	53.7
898	55.4
900	nan
