Analytical (Mie, radial dipole, a=15.874 nm, gap=5.0 nm, JC gold) vs FDTD case D
Fp_max  Mie = 771.0 @ 506 nm | FDTD raw = 658.7 @ 508 nm | FDTD/B-corrected = 679.2 @ 508 nm
T_max   Mie = 6.58 @ 530 nm | FDTD raw = 6.03 @ 532 nm | corrected = 6.06 @ 532 nm
eta at Fp-peak: Mie 0.67 % | FDTD 0.76 %
ratio FDTD/Mie of Fp at 508, 532, 610 nm: 0.86, 1.00, 0.91
ratio FDTD/Mie of T  at 508, 532, 610 nm: 0.94, 0.92, 0.92

lambda_nm	Fp_mie	T_mie	Fp_fdtd	T_fdtd
500	760.494	4.7059	636.331	4.4182
502	766.476	4.8643	645.298	4.5734
504	770.013	5.0287	652.052	4.7295
506	770.952	5.1985	656.537	4.8842
508	769.164	5.3726	658.738	5.0354
510	764.543	5.5498	658.672	5.1810
512	757.015	5.7287	656.391	5.3190
514	746.541	5.9078	651.976	5.4478
516	733.117	6.0852	645.536	5.5659
518	716.780	6.2592	637.201	5.6719
520	697.605	6.4276	627.119	5.7651
522	673.061	6.5246	615.454	5.8446
524	645.733	6.5539	602.376	5.9101
526	618.769	6.5726	588.063	5.9615
528	592.277	6.5816	572.694	5.9989
530	566.347	6.5819	556.446	6.0226
532	541.051	6.5743	539.492	6.0333
534	516.444	6.5599	521.997	6.0317
536	492.569	6.5394	504.115	6.0188
538	469.456	6.5137	485.992	5.9957
540	447.122	6.4836	467.760	5.9634
542	425.578	6.4497	449.538	5.9232
544	404.824	6.4127	431.431	5.8764
546	384.856	6.3732	413.533	5.8241
548	365.663	6.3316	395.923	5.7677
550	348.972	6.2811	378.669	5.7083
552	333.769	6.2275	361.828	5.6470
554	319.268	6.1746	345.443	5.5848
556	305.435	6.1223	329.552	5.5226
558	292.236	6.0709	314.183	5.4613
560	279.639	6.0205	299.354	5.4015
562	267.610	5.9711	285.080	5.3438
564	256.122	5.9228	271.369	5.2887
566	245.145	5.8755	258.225	5.2364
568	234.652	5.8294	245.649	5.1874
570	224.617	5.7845	233.637	5.1415
572	215.015	5.7407	222.186	5.0989
574	205.824	5.6980	211.288	5.0596
576	197.022	5.6565	200.935	5.0233
578	188.588	5.6161	191.118	4.9900
580	180.503	5.5769	181.827	4.9593
582	172.747	5.5387	173.051	4.9311
584	166.421	5.4964	164.778	4.9050
586	160.429	5.4553	156.995	4.8806
588	154.706	5.4158	149.689	4.8578
590	149.235	5.3777	142.846	4.8361
592	144.000	5.3410	136.451	4.8153
594	138.989	5.3055	130.489	4.7952
596	134.188	5.2713	124.941	4.7754
598	129.586	5.2383	119.791	4.7558
600	125.171	5.2065	115.019	4.7362
