case	lam_Fp	Fp_max	lam_T	T_max	eta_at_Fp_peak_%	eta_at_T_peak_%	eta_max_%	lam_eta_max
A_baseline	610	1496.2	616	119.22	7.56	8.56	19.4	784
B_freespace	848	1.1	900	1.00	88.54	99.68	108.0	748
C_tip_transverse	508	239.2	500	0.48	0.18	0.21	5.7	812
D_sphere_R15.9	508	658.7	532	6.03	0.76	1.12	11.8	884
D_sphere_R15.9_tan	510	268.3	500	0.45	0.15	0.18	1.9	900
G_mesh3	644	2026.6	648	183.85	8.71	9.32	18.3	810
G_mesh1.5	540	3752.0	620	164.86	0.05	7.01	9.6	714
F_gap3	516	7198.2	614	252.11	0.05	6.44	7.7	650
F_gap10	610	552.7	614	46.81	8.07	8.87	30.6	836
F_gap20	610	90.5	618	9.86	9.62	12.42	73.8	896
