lambda_nm	T
500	2.01976
502	2.01799
504	2.01532
506	2.00025
508	1.96886
510	1.92653
512	1.88465
514	1.8543
516	1.84049
518	1.83977
520	1.84238
522	1.83768
524	1.81986
526	1.79134
528	1.76193
530	1.74465
532	1.74992
534	1.78118
536	1.83393
538	1.89859
540	1.96586
542	2.03232
544	2.10341
546	2.19284
548	2.31823
550	2.49508
552	2.73157
554	3.02655
556	3.37178
558	3.75793
560	4.18213
562	4.65422
564	5.19921
566	5.85473
568	6.66407
570	7.6672
572	8.8931
574	10.3567
576	12.0622
578	14.0135
580	16.2276
582	18.75
584	21.6633
586	25.0885
588	29.1736
590	34.0712
592	39.9078
594	46.7491
596	54.5695
598	63.2314
600	72.4789
602	81.9501
604	91.2056
606	99.7713
608	107.188
610	113.06
612	117.099
614	119.154
616	119.219
618	117.434
620	114.054
622	109.422
624	103.923
626	97.942
628	91.8306
630	85.8746
632	80.2803
634	75.1696
636	70.5873
638	66.516
640	62.8955
642	59.6443
644	56.6779
646	53.9239
648	51.33
650	48.8679
652	46.5305
654	44.3266
656	42.2734
658	40.3885
660	38.6839
662	37.1613
664	35.811
666	34.6128
668	33.539
670	32.5584
672	31.641
674	30.7618
676	29.9032
678	29.0568
680	28.2224
682	27.407
684	26.6218
686	25.8794
688	25.191
690	24.5642
692	24.0015
694	23.5
696	23.0517
698	22.6452
700	22.2672
702	21.9045
704	21.5456
706	21.1826
708	20.8114
710	20.4321
712	20.0487
714	19.6676
716	19.2969
718	18.9447
720	18.6179
722	18.321
724	18.0559
726	17.8214
728	17.6134
730	17.4259
732	17.2516
734	17.0827
736	16.9125
738	16.7356
740	16.5485
742	16.3505
744	16.1428
746	15.9289
748	15.7134
750	15.5019
752	15.2998
754	15.1118
756	14.9415
758	14.7907
760	14.6593
762	14.5455
764	14.446
766	14.3564
768	14.2719
770	14.1874
772	14.0987
774	14.0023
776	13.8962
778	13.7797
780	13.6538
782	13.5205
784	13.383
786	13.2452
788	13.111
790	12.9842
792	12.8679
794	12.7644
796	12.6748
798	12.599
800	12.5359
802	12.4831
804	12.4377
806	12.3963
808	12.3552
810	12.3112
812	12.2613
814	12.2036
816	12.1367
818	12.0606
820	11.976
822	11.8845
824	11.7886
826	11.6909
828	11.5946
830	11.5025
832	11.4173
834	11.3411
836	11.2753
838	11.2205
840	11.1765
842	11.1423
844	11.1163
846	11.0961
848	11.0793
850	11.0631
852	11.0448
854	11.0222
856	10.9932
858	10.9566
860	10.9116
862	10.8582
864	10.7971
866	10.7296
868	10.6575
870	10.5829
872	10.5081
874	10.4356
876	10.3675
878	10.3058
880	10.252
882	10.207
884	10.1714
886	10.1449
888	10.1269
890	10.116
892	10.1106
894	10.1088
896	10.1085
898	10.1074
900	10.1036
