lambda_nm	Fp	T	eta	Ploss
500	0.960386	0.992806	1.03376	-0.03242
502	0.962609	0.992965	1.03153	-0.0303553
504	0.964953	0.993121	1.02919	-0.0281683
506	0.967375	0.993276	1.02677	-0.0259004
508	0.969836	0.993428	1.02433	-0.0235918
510	0.972297	0.993578	1.02189	-0.0212812
512	0.97472	0.993726	1.0195	-0.0190056
514	0.977072	0.993871	1.01719	-0.0167995
516	0.97932	0.994015	1.01501	-0.014695
518	0.981435	0.994157	1.01296	-0.0127214
520	0.983391	0.994296	1.01109	-0.010905
522	0.985165	0.994433	1.00941	-0.00926875
524	0.986736	0.994569	1.00794	-0.00783247
526	0.988089	0.994702	1.00669	-0.00661251
528	0.989211	0.994833	1.00568	-0.00562179
530	0.990092	0.994962	1.00492	-0.00486983
532	0.990726	0.995089	1.0044	-0.00436275
534	0.991111	0.995214	1.00414	-0.00410337
536	0.991246	0.995337	1.00413	-0.00409129
538	0.991135	0.995458	1.00436	-0.004323
540	0.990786	0.995578	1.00484	-0.00479209
542	0.990206	0.995695	1.00554	-0.00548938
544	0.989407	0.99581	1.00647	-0.00640312
546	0.988405	0.995924	1.00761	-0.00751922
548	0.987214	0.996036	1.00894	-0.00882143
550	0.985854	0.996146	1.01044	-0.0102916
552	0.984344	0.996254	1.0121	-0.0119101
554	0.982705	0.996361	1.0139	-0.0136556
556	0.98096	0.996465	1.01581	-0.0155058
558	0.979131	0.996569	1.01781	-0.0174375
560	0.977243	0.99667	1.01988	-0.0194268
562	0.975321	0.99677	1.02199	-0.0214496
564	0.973387	0.996869	1.02412	-0.0234813
566	0.971468	0.996966	1.02625	-0.0254976
568	0.969586	0.997061	1.02834	-0.0274747
570	0.967766	0.997155	1.03037	-0.029389
572	0.96603	0.997248	1.03232	-0.0312178
574	0.9644	0.997339	1.03416	-0.0329394
576	0.962896	0.997429	1.03586	-0.0345333
578	0.961538	0.997518	1.03742	-0.0359801
580	0.960343	0.997605	1.0388	-0.0372621
582	0.959329	0.997692	1.03999	-0.0383629
584	0.958508	0.997777	1.04097	-0.0392681
586	0.957895	0.99786	1.04172	-0.0399651
588	0.9575	0.997943	1.04224	-0.0404431
590	0.957331	0.998025	1.04251	-0.0406933
592	0.957396	0.998105	1.04252	-0.040709
594	0.957699	0.998185	1.04227	-0.0404856
596	0.958242	0.998263	1.04176	-0.0400207
598	0.959027	0.99834	1.04099	-0.0393137
600	0.96005	0.998417	1.03996	-0.0383663
602	0.961309	0.998492	1.03868	-0.0371824
604	0.962799	0.998566	1.03715	-0.0357675
606	0.96451	0.99864	1.03539	-0.0341295
608	0.966434	0.998712	1.0334	-0.032278
610	0.968559	0.998783	1.03121	-0.0302242
612	0.970873	0.998854	1.02882	-0.0279813
614	0.97336	0.998924	1.02626	-0.025564
616	0.976004	0.998992	1.02355	-0.0229883
618	0.978788	0.99906	1.02071	-0.0202718
620	0.981694	0.999127	1.01776	-0.0174331
622	0.984701	0.999193	1.01472	-0.0144918
624	0.98779	0.999258	1.01161	-0.0114685
626	0.990938	0.999322	1.00846	-0.0083847
628	0.994124	0.999386	1.00529	-0.00526215
630	0.997325	0.999448	1.00213	-0.00212324
