lambda_nm	Fp	T	eta	Ploss
500	232.92	0.482355	0.0020709	232.438
502	235.598	0.471836	0.00200272	235.126
504	237.546	0.461007	0.00194071	237.085
506	238.757	0.449948	0.00188454	238.307
508	239.235	0.438739	0.00183392	238.796
510	238.988	0.427457	0.00178861	238.561
512	238.032	0.41618	0.00174842	237.616
514	236.39	0.404982	0.0017132	235.985
516	234.089	0.393933	0.00168283	233.695
518	231.163	0.3831	0.00165727	230.78
520	227.65	0.372546	0.00163648	227.277
522	223.591	0.362326	0.00162049	223.229
524	219.031	0.352494	0.00160934	218.678
526	214.016	0.343095	0.00160313	213.673
528	208.598	0.334172	0.00160199	208.263
530	202.824	0.32576	0.00160612	202.499
532	196.748	0.317887	0.00161571	196.43
534	190.419	0.310578	0.00163102	190.108
536	183.888	0.30385	0.00165237	183.584
538	177.204	0.297718	0.00168009	176.906
540	170.415	0.292187	0.00171456	170.123
542	163.568	0.28726	0.00175621	163.281
544	156.706	0.282934	0.00180551	156.423
546	149.87	0.279203	0.00186297	149.591
548	143.098	0.276056	0.00192913	142.822
550	136.427	0.273476	0.00200457	136.153
552	129.887	0.271446	0.00208987	129.615
554	123.507	0.269944	0.00218565	123.237
556	117.314	0.268946	0.00229254	117.045
558	111.328	0.268425	0.00241112	111.06
560	105.569	0.268352	0.00254197	105.3
562	100.051	0.268699	0.00268563	99.782
564	94.7861	0.269432	0.00284253	94.5166
566	89.7836	0.270521	0.00301304	89.513
568	85.0488	0.271933	0.00319738	84.7769
570	80.5847	0.273636	0.00339563	80.3111
572	76.3915	0.275596	0.00360768	76.1159
574	72.4669	0.277782	0.00383322	72.1891
576	68.8064	0.280162	0.00407174	68.5263
578	65.4036	0.282706	0.00432248	65.1209
580	62.2502	0.285385	0.00458448	61.9648
582	59.3363	0.28817	0.00485656	59.0481
584	56.6507	0.291035	0.00513736	56.3597
586	54.1814	0.293956	0.00542541	53.8874
588	51.9151	0.296908	0.00571912	51.6182
590	49.8381	0.299872	0.00601692	49.5382
592	47.9363	0.302826	0.00631726	47.6335
594	46.1952	0.305754	0.00661873	45.8895
596	44.6005	0.308639	0.00692009	44.2919
598	43.1378	0.311469	0.00722033	42.8263
600	41.7929	0.314231	0.00751875	41.4787
602	40.5524	0.316915	0.00781494	40.2355
604	39.4031	0.319513	0.00810882	39.0836
606	38.3326	0.322018	0.00840064	38.0106
608	37.3292	0.324427	0.00869097	37.0047
610	36.382	0.326734	0.00898066	36.0553
612	35.4811	0.32894	0.00927084	35.1522
614	34.6175	0.331043	0.00956287	34.2865
616	33.7831	0.333045	0.00985831	33.4501
618	32.9708	0.334946	0.0101589	32.6359
620	32.1745	0.336752	0.0104664	31.8377
622	31.389	0.338464	0.0107829	31.0505
624	30.6102	0.340089	0.0111103	30.2701
626	29.8347	0.341631	0.0114508	29.4931
628	29.0603	0.343096	0.0118063	28.7172
630	28.2854	0.344491	0.0121791	27.9409
632	27.5092	0.345822	0.0125712	27.1634
634	26.7316	0.347096	0.0129845	26.3845
636	25.9532	0.348321	0.0134211	25.6049
638	25.1752	0.349501	0.0138828	24.8257
