lambda_nm,Fp,T,eta_a,A_metal,T_amin
500.000,1327.38,2.85392,0.00215004,1324.52,2.01976
504.000,1413.5,2.84264,0.00201106,1410.66,2.01532
508.000,1490.15,2.84037,0.0019061,1487.31,1.96886
512.000,1553.18,2.85257,0.0018366,1550.32,1.88465
516.000,1599.19,2.88602,0.00180468,1596.3,1.84049
520.000,1626.84,2.92997,0.00180102,1623.91,1.84238
524.000,1636.72,3.00141,0.00183379,1633.72,1.81986
528.000,1629.31,3.12735,0.00191943,1626.19,1.76193
532.000,1605.79,3.3186,0.00206665,1602.47,1.74992
536.000,1569.93,3.61706,0.00230396,1566.31,1.83393
540.000,1527.65,4.0915,0.0026783,1523.55,1.96586
544.000,1486.18,4.7963,0.00322726,1481.39,2.10341
548.000,1453.71,5.81969,0.00400334,1447.89,2.31823
552.000,1436.31,7.31935,0.00509594,1428.99,2.73157
556.000,1434.92,9.47074,0.0066002,1425.45,3.37178
560.000,1446.84,12.4949,0.00863598,1434.34,4.18213
564.000,1469.74,16.7638,0.0114059,1452.98,5.19921
568.000,1503.87,22.7665,0.0151386,1481.11,6.66407
572.000,1553.2,30.9998,0.0199586,1522.2,8.8931
576.000,1624.96,41.9784,0.0258335,1582.98,12.0622
580.000,1722.44,56.0748,0.0325555,1666.36,16.2276
584.000,1831.93,72.7845,0.039731,1759.15,21.6633
588.000,1917.76,89.9285,0.0468925,1827.83,29.1736
592.000,1936.95,103.97,0.0536771,1832.98,39.9078
596.000,1865.27,111.717,0.0598934,1753.55,54.5695
600.000,1712.4,112.119,0.0654748,1600.28,72.4789
604.000,1513.77,106.607,0.0704253,1407.16,91.2056
608.000,1308.41,97.8658,0.0747974,1210.55,107.188
612.000,1121.8,88.2659,0.0786821,1033.54,117.099
616.000,962.913,79.1306,0.0821784,883.782,119.219
620.000,830.976,70.9331,0.0853612,760.043,114.054
624.000,722.471,63.7802,0.0882807,658.69,103.923
628.000,633.847,57.6702,0.0909845,576.177,91.8306
632.000,561.543,52.5174,0.0935234,509.025,80.2803
636.000,501.981,48.1576,0.0959352,453.823,70.5873
640.000,452.186,44.4212,0.0982366,407.765,62.8955
644.000,410.163,41.1956,0.100437,368.967,56.6779
648.000,374.605,38.417,0.102553,336.188,51.33
652.000,344.387,36.0246,0.104605,308.363,46.5305
656.000,318.408,33.9428,0.106602,284.466,42.2734
660.000,295.763,32.1026,0.108542,263.66,38.6839
664.000,275.878,30.4634,0.110423,245.415,35.811
668.000,258.413,29.0077,0.112253,229.405,33.539
672.000,243.057,27.7186,0.114042,215.339,31.641
676.000,229.451,26.5684,0.115791,202.882,29.9032
680.000,217.252,25.5266,0.117498,191.726,28.2224
684.000,206.236,24.5743,0.119156,181.662,26.6218
688.000,196.29,23.7056,0.120768,172.585,25.191
692.000,187.333,22.9182,0.122339,164.415,24.0015
696.000,179.248,22.2042,0.123874,157.044,23.0517
700.000,171.886,21.5494,0.12537,150.337,22.2672
704.000,165.122,20.9411,0.126822,144.18,21.5456
708.000,158.887,20.3737,0.128227,138.513,20.8114
712.000,153.158,19.8475,0.129588,133.311,20.0487
716.000,147.913,19.3629,0.130908,128.55,19.2969
720.000,143.098,18.9162,0.13219,124.182,18.6179
724.000,138.646,18.4999,0.133432,120.146,18.0559
728.000,134.496,18.1071,0.13463,116.388,17.6134
732.000,130.617,17.7352,0.13578,112.882,17.2516
736.000,127.006,17.3852,0.136886,109.62,16.9125
740.000,123.658,17.0586,0.137949,106.6,16.5485
744.000,120.557,16.7542,0.138973,103.803,16.1428
748.000,117.669,16.4685,0.139957,101.2,15.7134
752.000,114.956,16.197,0.140898,98.759,15.2998
756.000,112.397,15.9371,0.141793,96.46,14.9415
760.000,109.987,15.6888,0.142643,94.2979,14.6593
764.000,107.728,15.4535,0.143449,92.2748,14.446
768.000,105.622,15.2322,0.144215,90.3897,14.2719
772.000,103.656,15.024,0.144941,88.632,14.0987
776.000,101.81,14.8263,0.145627,86.9839,13.8962
780.000,100.064,14.6365,0.146271,85.4278,13.6538
784.000,98.4069,14.4532,0.146872,83.9537,13.383
788.000,96.8365,14.2765,0.147429,82.56,13.111
792.000,95.3576,14.1077,0.147945,81.2499,12.8679
796.000,93.9727,13.9475,0.148421,80.0252,12.6748
800.000,92.6775,13.7958,0.148858,78.8817,12.5359
804.000,91.4611,13.6513,0.149259,77.8098,12.4377
808.000,90.3105,13.5123,0.14962,76.7982,12.3552
812.000,89.2158,13.3773,0.149943,75.8386,12.2613
816.000,88.174,13.2459,0.150225,74.9281,12.1367
820.000,87.1875,13.1189,0.150468,74.0685,11.976
824.000,86.2602,12.9971,0.150673,73.2631,11.7886
